status	relative_path	left_size	right_size	delta_right_minus_left	left_target	right_target
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	17361200	17361200	0		
different	usr/lib/swift/appletvsimulator/Swift.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	4097336	4097336	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	1085	1085	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	436	436	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	1085	1085	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	247988	247988	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	3248	3248	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	1086	1086	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	436	436	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	1086	1086	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	247988	247988	0		
different	usr/lib/swift/appletvsimulator/SwiftOnoneSupport.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	3248	3248	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	242767	242767	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	256236	256236	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	242767	242767	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	578592	578592	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	203580	203580	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	242768	242768	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	256236	256236	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	242768	242768	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	578592	578592	0		
different	usr/lib/swift/appletvsimulator/Synchronization.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	203580	203580	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	4237	4237	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	432	432	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	4237	4237	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	23716	23716	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	2836	2836	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	5758	5758	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	432	432	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	5758	5758	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	26028	26028	0		
different	usr/lib/swift/appletvsimulator/_Builtin_float.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	3784	3784	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	303511	303511	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	436376	436376	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	294794	294794	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	937172	937172	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	427772	427772	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	303512	303512	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	436376	436376	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	294795	294795	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	937172	937172	0		
different	usr/lib/swift/appletvsimulator/_Concurrency.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	427772	427772	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	136654	136654	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	7812	7812	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	136654	136654	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	1208076	1208076	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	116076	116076	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	155826	155826	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	8404	8404	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	155826	155826	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	1309116	1309116	0		
different	usr/lib/swift/appletvsimulator/_Differentiation.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	130788	130788	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	90824	90824	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	104808	104808	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	89843	89843	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	413876	413876	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	311712	311712	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	90825	90825	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	104808	104808	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	89844	89844	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	413876	413876	0		
different	usr/lib/swift/appletvsimulator/_RegexParser.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	311712	311712	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	36764	36764	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	56376	56376	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	23784	23784	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	486452	486452	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	119488	119488	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	36765	36765	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	56376	56376	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	23785	23785	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	486452	486452	0		
different	usr/lib/swift/appletvsimulator/_StringProcessing.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	119488	119488	0		
